Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,14
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,13
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,5
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,10
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,22
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,18
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,18
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,8
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,16
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,12
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,10
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,12
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,12
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,19
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,8
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,10
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,4
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,11
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,7
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,9
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,13
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,10
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,13
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,5
